2.09545 	1.34705 	1.55559 	0.9 
0.165913 	0.244493 	0.678599 	-0.9 
0.481712 	2.1355 	0.225574 	-0.9 
0.126732 	0.161578 	0.784335 	0.9 
2.94513 	3.59818 	0.818504 	0 
1.8175 	1.69683 	1.07111 	0.9 
1.17108 	3.42742 	0.341681 	-0.9 
2.57099 	2.53226 	1.0153 	0.9 
0.141176 	0.212368 	0.664773 	-0.9 
2.58342 	2.64984 	0.974935 	0 
0.243562 	0.273169 	0.891616 	0 
0.983744 	0.950226 	1.03527 	0 
3.74263 	3.78514 	0.98877 	0.9 
0.348584 	2.7518 	0.126675 	-0.9 
2.26339 	2.83622 	0.798028 	0 
0.128592 	0.174808 	0.735619 	-0.9 
1.38645 	1.11821 	1.23988 	0.9 
0.523969 	2.71231 	0.193182 	-0.9 
0.392309 	0.387317 	1.01289 	0.9 
0.189067 	0.368077 	0.513661 	-0.9 
0.282268 	0.389971 	0.723818 	0 
